trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
7,1.0,1.0,0.013333333333333334,0.44333333333333336,4,17,0.5514835536611826
7,1.2,1.0,0.01,0.6666666666666666,4,17,0.5638167088132781
7,1.4,1.0,0.016666666666666666,0.8266666666666667,4,17,0.5662743941954392
7,1.6,1.0,0.013333333333333334,0.9133333333333333,4,17,0.5719961329315186
7,1.8,1.0,0.01,0.97,4,17,0.5728119915700138
7,2.0,1.0,0.0033333333333333335,0.9866666666666667,4,17,0.5719961329315186
7,0.6,2.0,0.006666666666666667,0.07333333333333333,4,17,0.5233164098038501
7,0.8,2.0,0.01,0.23,4,17,0.5629967770624005
7,1.0,2.0,0.013333333333333334,0.44333333333333336,4,17,0.6018868796800566
7,1.2,2.0,0.01,0.6666666666666666,4,17,0.6255875599432235
7,1.4,2.0,0.016666666666666666,0.8266666666666667,4,17,0.6302602229177513
7,1.6,2.0,0.013333333333333334,0.9133333333333333,4,17,0.641067406334817
7,1.8,2.0,0.01,0.97,4,17,0.6425999592827029
7,2.0,2.0,0.0033333333333333335,0.9866666666666667,4,17,0.6410674063348171
7,0.6,3.0,0.006666666666666667,0.07333333333333333,4,17,0.5349429451582145
